Document_ID,Canton,Index,Main_Category,Sub_Category,Person,Description_DE,canton,index,mainCategory,subcategory,person
SO_100,SO,100,Einkommen,Haupterwerb (Main employment),Person 1,Einkünfte aus unselbständiger Erwerbstätigkeit (Income from dependent employment),SO,100,Einkommen,Haupterwerb (Main employment),Person 1
SO_101,SO,101,Einkommen,Haupterwerb (Main employment),Person 2,Einkünfte aus unselbständiger Erwerbstätigkeit (Income from dependent employment),SO,101,Einkommen,Haupterwerb (Main employment),Person 2
SO_110,SO,110,Einkommen,Nebenerwerb (Secondary employment),Person 1,Einkünfte aus unselbständiger Erwerbstätigkeit (Income from dependent employment),SO,110,Einkommen,Nebenerwerb (Secondary employment),Person 1
SO_111,SO,111,Einkommen,Nebenerwerb (Secondary employment),Person 2,Einkünfte aus unselbständiger Erwerbstätigkeit (Income from dependent employment),SO,111,Einkommen,Nebenerwerb (Secondary employment),Person 2
SO_120,SO,120,Einkommen,Privatanteile an Auto- und anderen Spesen (Private shares of car and other expenses),Person 1,Einkünfte aus unselbständiger Erwerbstätigkeit (Income from dependent employment),SO,120,Einkommen,Privatanteile an Auto- und anderen Spesen (Private shares of car and other expenses),Person 1
SO_121,SO,121,Einkommen,Privatanteile an Auto- und anderen Spesen (Private shares of car and other expenses),Person 2,Einkünfte aus unselbständiger Erwerbstätigkeit (Income from dependent employment),SO,121,Einkommen,Privatanteile an Auto- und anderen Spesen (Private shares of car and other expenses),Person 2
SO_130,SO,130,Einkommen,Verwaltungsratshonorare (Board of Directors fees),Person 1,Einkünfte aus unselbständiger Erwerbstätigkeit (Income from dependent employment),SO,130,Einkommen,Verwaltungsratshonorare (Board of Directors fees),Person 1
SO_131,SO,131,Einkommen,Verwaltungsratshonorare (Board of Directors fees),Person 2,Einkünfte aus unselbständiger Erwerbstätigkeit (Income from dependent employment),SO,131,Einkommen,Verwaltungsratshonorare (Board of Directors fees),Person 2
SO_150,SO,150,Einkommen,Einkünfte/Verlust aus selbständiger Erwerbstätigkeit (inkl. Nebeneinkommen),Person 1,Einkünfte/Verlust aus selbständiger Erwerbstätigkeit (Income/Loss from self-employment),SO,150,Einkommen,Einkünfte/Verlust aus selbständiger Erwerbstätigkeit (inkl. Nebeneinkommen),Person 1
SO_151,SO,151,Einkommen,Einkünfte/Verlust aus selbständiger Erwerbstätigkeit (inkl. Nebeneinkommen),Person 2,Einkünfte/Verlust aus selbständiger Erwerbstätigkeit (Income/Loss from self-employment),SO,151,Einkommen,Einkünfte/Verlust aus selbständiger Erwerbstätigkeit (inkl. Nebeneinkommen),Person 2
SO_200,SO,200,Einkommen,Einkünfte aus Sozial- und anderen Versicherungen AHV- / IV-Renten,Person 1,Einkünfte aus Sozial- und anderen Versicherungen (Income from social and other insurances),SO,200,Einkommen,Einkünfte aus Sozial- und anderen Versicherungen AHV- / IV-Renten,Person 1
SO_201,SO,201,Einkommen,Einkünfte aus Sozial- und anderen Versicherungen AHV- / IV-Renten,Person 2,Einkünfte aus Sozial- und anderen Versicherungen (Income from social and other insurances),SO,201,Einkommen,Einkünfte aus Sozial- und anderen Versicherungen AHV- / IV-Renten,Person 2
SO_210,SO,210,Sonstiges,Person 1,Person 1,Renten/Pensionen (Pensions/Retirement Funds),SO,210,Sonstiges,Person 1,Person 1
SO_211,SO,211,Sonstiges,Person 2,Person 2,Renten/Pensionen (Pensions/Retirement Funds),SO,211,Sonstiges,Person 2,Person 2
SO_220,SO,220,Sonstiges,Person 1,Person 1,Übrige Renten (Other Pensions),SO,220,Sonstiges,Person 1,Person 1
SO_221,SO,221,Sonstiges,Person 2,Person 2,Übrige Renten (Other Pensions),SO,221,Sonstiges,Person 2,Person 2
SO_230,SO,230,Sonstiges,Person 1,Person 1,"Erwerbsausfall- und Mutterschaftsentschädigungen, Taggelder aus IV und ALV (Loss of earnings and maternity allowances, daily benefits from IV (Disability Insurance) and ALV (Unemployment Insurance))",SO,230,Sonstiges,Person 1,Person 1
SO_231,SO,231,Sonstiges,Person 2,Person 2,"Erwerbsausfall- und Mutterschaftsentschädigungen, Taggelder aus IV und ALV (Loss of earnings and maternity allowances, daily benefits from IV (Disability Insurance) and ALV (Unemployment Insurance))",SO,231,Sonstiges,Person 2,Person 2
SO_240,SO,240,Abzüge,Person 1,Person 1,Taggelder aus Kranken- und Unfallversicherungen (Daily benefits from health and accident insurance),SO,240,Abzüge,Person 1,Person 1
SO_241,SO,241,Abzüge,Person 2,Person 2,Taggelder aus Kranken- und Unfallversicherungen (Daily benefits from health and accident insurance),SO,241,Abzüge,Person 2,Person 2
SO_250,SO,250,Sonstiges,Von Ausgleichskassen direkt ausbezahlte Kinder- und Familienzulagen,,Von Ausgleichskassen direkt ausbezahlte Kinder- und Familienzulagen (Child and family allowances paid out directly by equalization funds),SO,250,Sonstiges,Von Ausgleichskassen direkt ausbezahlte Kinder- und Familienzulagen,
SO_300,SO,300,Einkommen,Wertschriftenertrag,,Wertschriftenertrag (Securities Income),SO,300,Einkommen,Wertschriftenertrag,
SO_310,SO,310,Einkommen,Unterhaltsbeiträge vom geschiedenen/getrennt lebenden Ehegatten (Maintenance contributions from divorced/separated spouse),,Übrige Einkünfte (Other Income),SO,310,Einkommen,Unterhaltsbeiträge vom geschiedenen/getrennt lebenden Ehegatten (Maintenance contributions from divorced/separated spouse),
SO_320,SO,320,Einkommen,Unterhaltsbeiträge für Kinder bis zum Monat der Volljährigkeit (Maintenance contributions for children up to the month of reaching the age of majority),,Übrige Einkünfte (Other Income),SO,320,Einkommen,Unterhaltsbeiträge für Kinder bis zum Monat der Volljährigkeit (Maintenance contributions for children up to the month of reaching the age of majority),
SO_330,SO,330,Einkommen,Ertrag aus Personengemeinschaften (Income from partnerships/unincorporated associations),,Übrige Einkünfte (Other Income),SO,330,Einkommen,Ertrag aus Personengemeinschaften (Income from partnerships/unincorporated associations),
SO_340,SO,340,Einkommen,Kapitalabfindungen für wiederkehrende Leistungen für (Capital settlements for recurring benefits for),,Übrige Einkünfte (Other Income),SO,340,Einkommen,Kapitalabfindungen für wiederkehrende Leistungen für (Capital settlements for recurring benefits for),
SO_350,SO,350,Einkommen,Weitere Einkünfte; Bezeichnung: (Further income; description:),,Übrige Einkünfte (Other Income),SO,350,Einkommen,Weitere Einkünfte; Bezeichnung: (Further income; description:),
SO_400,SO,400,Einkommen,Zwischentotal der Einkünfte,,Zwischentotal der Einkünfte (Subtotal of Income),SO,400,Einkommen,Zwischentotal der Einkünfte,
SO_410,SO,410,Einkommen,Übertrag von Ziffer 400 (Transfer from number 400),,Zwischentotal der Einkünfte (Subtotal of Income),SO,410,Einkommen,Übertrag von Ziffer 400 (Transfer from number 400),
SO_430,SO,430,Einkommen,Einkünfte aus Liegenschaften (Total Ziff. 433) (Income from Real Estate - Total No. 433),,Zwischentotal der Einkünfte (Subtotal of Income),SO,430,Einkommen,Einkünfte aus Liegenschaften (Total Ziff. 433) (Income from Real Estate - Total No. 433),
