Language,Key,Status,Priority,Category
DE,accessibility.motion.footer,Missing,Medium,Accessibility
DE,contact.hours.content,Missing,Low,Contact
DE,contact.support_email,Missing,Low,Contact
DE,group.assets,Missing,High,Categories
DE,group.deductions,Missing,High,Categories
DE,group.income,Missing,High,Categories
DE,group.swiss_specific,Missing,High,Categories
DE,privacy.rights.content,Missing,Medium,Legal
DE,privacy.rights.title,Missing,Medium,Legal
DE,security.authentication.footer,Missing,Low,Security
DE,settings.appearance.dark,Missing,Medium,Settings
DE,settings.appearance.light,Missing,Medium,Settings
DE,settings.appearance.system,Missing,Medium,Settings
DE,settings.appearance.title,Missing,Medium,Settings
DE,settings.tax.status_section,Missing,Medium,Settings
DE,settings.tax.workspace_section,Missing,Medium,Settings
DE,settings.tax.workspace_section.footer,Missing,Low,Settings
DE,settings.tax.year_section,Missing,Medium,Settings
DE,settings.tax.year_section.footer,Missing,Low,Settings
FR,accessibility.motion.footer,Missing,Medium,Accessibility
FR,group.assets,Missing,High,Categories
FR,group.deductions,Missing,High,Categories
FR,group.income,Missing,High,Categories
FR,group.swiss_specific,Missing,High,Categories
FR,security.authentication.footer,Missing,Low,Security
FR,settings.appearance.dark,Missing,Medium,Settings
FR,settings.appearance.light,Missing,Medium,Settings
FR,settings.appearance.system,Missing,Medium,Settings
FR,settings.appearance.title,Missing,Medium,Settings
FR,settings.tax.status_section,Missing,Medium,Settings
FR,settings.tax.workspace_section,Missing,Medium,Settings
FR,settings.tax.workspace_section.footer,Missing,Low,Settings
FR,settings.tax.year_section,Missing,Medium,Settings
FR,settings.tax.year_section.footer,Missing,Low,Settings
IT,accessibility.motion.footer,Missing,Medium,Accessibility
IT,group.assets,Missing,High,Categories
IT,group.deductions,Missing,High,Categories
IT,group.income,Missing,High,Categories
IT,group.swiss_specific,Missing,High,Categories
IT,security.authentication.footer,Missing,Low,Security
IT,settings.appearance.dark,Missing,Medium,Settings
IT,settings.appearance.light,Missing,Medium,Settings
IT,settings.appearance.system,Missing,Medium,Settings
IT,settings.appearance.title,Missing,Medium,Settings
IT,settings.tax.status_section,Missing,Medium,Settings
IT,settings.tax.workspace_section,Missing,Medium,Settings
IT,settings.tax.workspace_section.footer,Missing,Low,Settings
IT,settings.tax.year_section,Missing,Medium,Settings
IT,settings.tax.year_section.footer,Missing,Low,Settings
