Key,English,German,French,Italian,Priority,File,Line
profile.section.tax_management,Tax Management,[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,756
profile.tax_management.deadlines,Tax Deadlines,[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,767
profile.tax_management.expert,Expert Connection,[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,777
profile.section.accessibility,Accessibility,[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,795
profile.accessibility.title,Accessibility Settings,[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,809
profile.accessibility.subtitle,"VoiceOver, Dynamic Type, Reduce Motion",[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,812
profile.section.security_privacy,Security & Privacy,[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,841
profile.security.account,Account Security,[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,852
profile.security.data,Data Management,[MISSING],[MISSING],[MISSING],CRITICAL,UnifiedProfileView.swift,862
common.close,Close,[MISSING],[MISSING],[MISSING],HIGH,UnifiedProfileView.swift,208
profile.accessibility.dismiss,Dismiss profile view,[MISSING],[MISSING],[MISSING],HIGH,UnifiedProfileView.swift,209
profile.accessibility.save,Save profile changes,[MISSING],[MISSING],[MISSING],HIGH,UnifiedProfileView.swift,245
profile.accessibility.edit,Edit profile,[MISSING],[MISSING],[MISSING],HIGH,UnifiedProfileView.swift,245
profile.accessibility.select_canton,Select canton,[MISSING],[MISSING],[MISSING],MEDIUM,UnifiedProfileView.swift,385
profile.accessibility.canton_hint,Tap to change canton,[MISSING],[MISSING],[MISSING],MEDIUM,UnifiedProfileView.swift,386
